songs,artist,decade,lyrics,sentiment_analysis_score,sentiment_analysis_magnitude
Don't Stop 'Til You Get Enough,Michael Jackson,1970,"[Intro]
You know, I was
I was wondering, you know
If you could keep on
Because the force
It’s got a lot of power
And it make me feel like ah
It make me feel like… oooh!

[Verse 1]
Lovely is the feeling now
Fever, temperatures rising now
Power is the force, the vow (Oh power)
That makes it happen, it asks no questions why (Ooh)
So get closer (Closer now)
To my body now
Just love me
Till you don't know how (Ooh)

[Chorus]
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough

[Verse 2]
Touch me and I feel on fire
Ain’t nothing like a love desire (Ooh)
I'm melting (I'm melting)
Like hot candle wax
Sensation (Oh sensation)
Lovely where we're at
So let love take us through the hours
I won't be complaining (Aah)
Cause this is love power (Ooh)

[Chorus]
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough

[Verse 3]
Heartbreak enemy despise
Eternal (Oh eternal)
Love shines in my eyes (Ooh)
So let love take us through the hours (Oh, let love)
I won't be complaining (No, no)
Cause your love is alright, alright (Ooh)

[Chorus]
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop (Don't stop, baby)
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough (Oh, my baby)
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough

[Refrain]
Lovely is the feeling now I won't be complaining (Ooh, ooh)
The force is love power

[Chorus]
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop (Don't stop, darling)
Don't stop 'til you get enough
Keep on with the force don't stop (Don't, baby)
Don't stop 'til you get enough
Keep on with the force don't stop (Keep on)
Don't stop 'til you get enough
Keep on with the force don't stop (Keep on, darling)
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop (Keep on, darling)
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough ('til you get enough)
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop (Yeah)
Don't stop 'til you get enough
Keep on with the force don't stop (Yeah)
Don't stop 'til you get enough
Keep on with the force don't stop (Keep on, baby)
Don't stop 'til you get enough ('til you get enough)
Keep on with the force don't stop
Don't stop 'til you get enough (Keep on, darling)
Keep on with the force don't stop
Don't stop 'til you get enough
Keep on with the force don't stop
Don't stop 'til you get enough (Keep on)",0.3000000119,5.099999905
Brick House,Commodores,1970,"Ow, she's a brick house
She's mighty-mighty, just lettin' it all hang out
She's a brick house
That lady's stacked and that's a fact
Ain't holding nothing back
Ow, she's a brick house
Well put-together, everybody knows
This is how the story goes
She knows she got everything
That a woman needs to get a man, yeah, yeah
How can she lose with the stuff she use
Thirty-six, twenty-four, thirty-six oh what a winning hand
'Cause she's a brick house
She's mighty-mighty, just lettin' it all hang out
She's a brick house
Ow, that lady stacked and that's a fact
Ain't holding nothing back
Ow, she's a brick house
Yeah, she's the one, the only one, built like an amazon
The clothes she wears, her sexy ways
Make an old man wish for younger days, yeah, yeah
She knows she's built and knows how to please
Sure enough to knock a strong man to his knees
'Cause she's a brick house
Yeah, she's mighty mighty, just lettin' it all hang out
She's a brick house
The lady's stacked and that's a fact
Ain't holding nothing back
Shake it down, shake it down now
Shake it down, shake it down now
Shake it down, shake it down now
Shake it down, shake it down now
Shake it down, shake it down now
Shake it down, shake it down now
Shake it down, shake it down now
Shake it down, shake it down now
Brick house
Yeah, she's mighty mighty, just lettin' it all hang out
She's a brick house
Yeah, she's the one, the only one, built like an amazon, yeah
Shake it down, shake it down, shake it down now
Shake it down, shake it down, shake it down now
Shake it down, shake it down, shake it down now
Shake it down, shake it down, shake it, shake it
Shake it down, shake it down, shake it down now
Shake it down, shake it down, shake it down now
Shake it down, shake it down, shake it down now
Shake it down, shake it down, shake it
Ow, a brick house",-0.200000003,0.5
September,"Earth, Wind & Fire",1970,"Do you remember the 21st night of September?
Love was changing the minds of pretenders
While chasing the clouds away
Our hearts were ringing
In the key that our souls were singing
As we danced in the night
Remember how the stars stole the night away
Hey hey hey
Ba de ya, say do you remember
Ba de ya, dancing in September
Ba de ya, never was a cloudy day
Ba duda, ba duda, ba duda, badu
Ba duda, badu, ba duda, badu
Ba duda, badu, ba duda
My thoughts are with you
Holding hands with your heart to see you
Only blue talk and love
Remember how we knew love was here to stay
Now December found the love that we shared in September
Only blue talk and love
Remember the true love we share today
Hey hey hey
Ba de ya, say do you remember
Ba de ya, dancing in September
Ba de ya, never was a cloudy day
There was a
Ba de ya, say do you remember
Ba de ya, dancing in September
Ba de ya, golden dreams were shinny days
The bell was ringing
Our souls were singing
Do you remember, never a cloudy day
There was a
Ba de ya, say do you remember
Ba de ya, dancing in September
Ba de ya, never was a cloudy day
There was a
Ba de ya, say do you remember
Ba de ya, dancing in September
Ba de ya, golden dreams were shinny days
Ba de ya de ya de ya
Ba de ya de ya de ya
Ba de ya de ya de ya de ya
Ba de ya de ya de ya
Ba de ya de ya de ya
Ba de ya de ya de ya de ya",0.400000006,1.299999952
,,,Average,0.3300000027,
Don't Stop Believin',Journey,1980,"[Verse 1]
Just a small town girl
Living in a lonely world
She took the midnight train
Going anywhere
Just a city boy
Born and raised in South Detroit
He took the midnight train
Going anywhere

[Guitar riff]

[Verse 2]
A singer in a smoky room
The smell of wine and cheap perfume
For a smile, they can share the night
It goes on and on and on and on

[Bridge]
Strangers waiting
Lookin' down the boulevard
Their shadows searching in the night
Streetlights, people
Living just to find emotion
Hiding somewhere in the night

[Verse 3]
Working hard to get my fill
Everybody wants a thrill
Payin' anything to roll the dice
Just one more time
Some will win, some will lose
Some are born to sing the blues
Another movie never ends
It goes on and on and on and on

[Bridge]
Strangers waiting
Lookin' down the boulevard
Their shadows searching in the night
Streetlights, people
Living just to find emotion
Hiding somewhere in the night

[Guitar breakdown]

[Chorus]
Don't stop believin'
Hold on to that feeling
Streetlights, people
Ohohohhhhhhhhhh

[Chorus]
Don't stop believin'
Hold on (to that)
Streetlights, people
Ohohohhhhhhhhhh

[Outro Chorus]
Don't stop believin'
Hold on to that feeling
Streetlights, people
Ohohohhhhhhhhhh",0.200000003,2.5
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1980,"[Intro]
I want to dance

[Verse 1]
Clocks strikes upon the hour
And the sun begins to fade
Still enough time to figure out
How to chase my blues away
I've done alright up 'til now
It's the light of day that shows me how
And when the night falls
Loneliness calls

[Chorus]
Oh! I want to dance with somebody
I want to feel the heat with somebody
Yeah! I want to dance with somebody
With somebody who loves me
Oh! I want to dance with somebody
I want to feel the heat with somebody
Yeah! I want to dance with somebody
With somebody who loves me

[Verse 2]
I've been in love and lost my senses
Spinning through the town
Sooner or later the fever ends
And I wind up feeling down
I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls

[Chorus]
Oh! I want to dance with somebody
I want to feel the heat with somebody
Yeah! I want to dance with somebody
With somebody who loves me
Oh! I want to dance with somebody
I want to feel the heat
Yeah! I want to dance with somebody
With somebody who loves me

[Bridge]
Somebody who, somebody who
Somebody who loves me
Somebody who, somebody who
To hold me in his arms
I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls

[Chorus]
Oh! I want to dance with somebody
I want to feel the heat with somebody
Yeah! I want to dance with somebody
With somebody who loves me
Oh! I want to dance with somebody
I want to feel the heat with somebody
Yeah! I want to dance with somebody
With somebody who loves me

[Outro]
Dance
C'mon baby
Dance
Dance
Get with this boy
Dance
Don't you want to dance
Dance
With me baby
Don't you want to dance
Dance
With me boy
Hey don't you want to dance
Dance
With me baby
With somebody who loves me
Don't you want to dance say you want to dance
Don't you want to dance
Dance
Don't you want to dance say you want to dance
Don't you want to dance
Dance
Don't you want to dance say you want to dance
Dance
With somebody who loves me
Dance
Dance
Hey baby
Dance",0.3000000119,6.599999905
You Shook Me All Night Long,AC/DC,1980,"She was a fast machine
She kept her motor clean
She was the best damn woman I had ever seen
She had the sightless eyes
Telling me no lies
Knockin' me out with those American thighs
Taking more than her share
Had me fighting for air
She told me to come but I was already there
'Cause the walls start shaking
The earth was quaking
My mind was aching
And we were making it and you
Shook me all night long
Yeah you shook me all night long
Working double time
On the seduction line
She was one of a kind, she's just mine all mine
Wanted no applause
Just another course
Made a meal out of me and came back for more
Had to cool me down
To take another round
Now I'm back in the ring to take another swing
'Cause the walls were shaking
The earth was quaking
My mind was aching
And we were making it and you
Shook me all night long
Yeah you shook me all night long
And knocked me out and then you
Shook me all night long
You had me shakin' and you
Shook me all night long
Yeah you shook me
Well you took me
You really took me and you
Shook me all night long
Oh you
Shook me all night long
Yeah, yeah, you
Shook me all night long
You really took me and you
Yeah you shook me, yeah you shook me
All night long",0.400000006,0.8999999762
Love Shack,B-52's,1980,"If you see a faded sign by the side of the road that says
Fifteen miles to the, love shack, love shack yeah
I'm headin' down the atlanta highway
Lookin' for the love getaway
Headed for the love getaway, love getaway
I got me a car, it's as big as a whale
And we're headin' on down to the love shack
I got me a chrysler, it seats about twenty
So hurry up and bring your jukebox money
The love shack is a little old place where
We can get together
Love shack baby
A love shack baby
Love shack, baby love shack
Love shack, baby love shack
Love shack, baby love shack
Love shack, baby love shack
Sign says, woo, stay away fools
'Cause love rules at the love shack
Well it's set way back in the middle of a field
Just a funky old shack and I gotta get back
Glitter on the mattress
Glitter on the highway
Glitter on the front porch
Glitter on the hallway
The love shack is a little old place where
We can get together
Love shack, baby
Love shack, baby
Love shack, that's where it's at
Love shack, that's where it's at
Huggin' and a-kissin', dancin' and a-lovin'
Wearin' next to nothing 'cause it's hot as an oven
The whole shack shimmies
Yeah the whole shack shimmies
The whole shack shimmies when everybody's movin' around
And around and around and around
Everybody's movin', everybody's groovin' baby
Folks linin' up outside just to get down
Everybody's movin', everybody's groovin' baby
Funky little shack
Funky little shack
Hop in my chrysler, it's as big as a whale
And it's about to set sail
I got me a car, it seats about twenty, so come on
And bring your jukebox money
The love shack is a little old place where
We can get together
Love shack baby
A love shack baby
Love shack, baby love shack
Love shack, baby love shack
Love shack, baby love shack (oh baby that's where it's at)
Love shack, baby love shack (baby that's where it's at)
Bang bang bang on the door baby!
Knock a little louder baby!
Bang bang bang on the door baby!
I can't hear you
Bang bang bang on the door baby!
Knock a little louder sugar!
Bang bang bang on the door baby!
I can't hear you
Bang bang bang on the door baby, knock a little louder
Bang bang on the door baby, bang bang!
On the door baby, bang bang!
On the door, bang bang!
On the door baby, bang bang!
You're what?
Tin roof
Rusted!
Love shack, baby love shack!
Love shack, baby love shack!
Love shack, baby love shack!
Love shack, baby love shack!",0.5,10
Pour Some Sugar On Me,Def Leppard,1980,"Step inside
Walk this way
You and me babe
Hey hey!
Love is like a bomb, baby, c'mon get it on
Livin' like a lover with a radar phone
Lookin' like a tramp, like a video vamp
Demolition woman, can I be your man?
Razzle 'n' a dazzle 'n' a flash a little light
Television lover, baby, go all night
Sometime, anytime, sugar me sweet
Little miss ah innocent sugar me, yeah, yeah
So c'mon, take a bottle, shake it up
Break the bubble, break it up
Pour some sugar on me
Ooh, in the name of love
Pour some sugar on me
C'mon, fire me up
Pour your sugar on me
I can't get enough
I'm hot, sticky sweet
From my head to my feet, yeah
Listen! red light, yellow light, green-a-light go!
Crazy little woman in a one man show
Mirror queen, mannequine, rhythm of love
Sweet dream, saccharine, loosen up
Loosen up
You gotta squeeze a little, squeeze a little
Tease a little more
Easy operator come a knockin' on my door
Sometime, anytime, sugar me sweet
Little miss innocent sugar me, yeah, yeah
Give a little more
Take a bottle, shake it up
Break the bubble, break it up
Pour some sugar on me
Ooh, in the name of love
Pour some sugar on me
C'mon, fire me up
Pour your sugar on me
I can't get enough
I'm hot, sticky sweet
From my head to my feet, yeah
You got the peaches, I got the cream
Sweet to taste, saccharine
'Cause I'm hot, say what, sticky sweet
From my head, my head, to my feet
Do you take sugar? One lump or two?
Take a bottle, shake it up
Break the bubble, break it up (Break it up)
Pour some sugar on me
Ooh, in the name of love
Pour some sugar on me
C'mon fire me up
Pour your sugar on me
Oh, I can't get enough
Pour some sugar on me
Oh, in the name of love
Pour some sugar on me
Get it, come get it
Pour your sugar on me
Pour some sugar on me
Yeah! Sugar me!",0.200000003,2.5
Footloose,Kenny Loggins,1980,"Been working so hard
I'm punching my card
Eight hours for what?
Oh, tell me what I got
I've got this feeling
That time's just holding me down
I'll hit the ceiling
Or else I'll tear up this town
Now I gotta cut loose
Footloose, kick off the Sunday shoes
Please, Louise, pull me off of my knees
Jack, get back, come on before we crack
Lose your blues, everybody cut footloose
You're playing so cool, obeying every rule
Deep way down in your heart
You're burning, yearning for the some-somebody to tell you
That life ain't passing you by
I'm trying to tell you
It will if you don't even try
You'll get by if you'd only cut loose
Footloose, kick off the Sunday shoes
Ooh-whee, Marie, shake it, shake it for me
Whoah, Milo come on, come on let's go
Lose your blues, everybody cut footloose
You got to turn me around
And put your feet on the ground
Gotta take the hold of all
I'm turning loose, footloose, kick off the Sunday shoes
Please, Louise, pull me off of my knees
Jack, get back, come on before we crack
Lose your blues, everybody cut footloose
Footloose, kick off the Sunday shoes
Please, Louise, pull me off of my knees
Jack, get back, come on before we crack
Lose your blues, everybody cut, everybody cut
Everybody cut, everybody cut
Everybody cut, everybody cut
Everybody, everybody cut footloose",-0.200000003,1.100000024
Livin' On A Prayer,Bon Jovi,1980,"[Intro]
Once upon a time, not so long ago

[Verse 1]
Tommy used to work on the docks, union's been on strike
He's down on his luck, it's tough, so tough
Gina works the diner all day, working for her man
She brings home her pay for love, mmm, for love

[Pre-Chorus]
She says, ""We've got to hold on to what we've got
It doesn't make a difference if we make it or not
We've got each other and that's a lot for love
We'll give it a shot""

[Chorus]
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand, we'll make it, I swear
Woah-oh, livin' on a prayer

[Verse 2]
Tommy's got his six-string in hock, now he's holding in
What he used to make it talk so tough, ooh, it's tough
Gina dreams of running away when she cries in the night
Tommy whispers, ""Baby, it's okay, someday""

[Pre-Chorus]
We've got to hold on to what we've got
It doesn't make a difference if we make it or not
We've got each other and that's a lot for love
We'll give it a shot""

[Chorus]
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand, we'll make it I swear
Woah-oh, livin' on a prayer, livin' on a prayer

[Guitar Solo]

[Bridge]
Ooh, we've got to hold on, ready or not
You live for the fight when it's all that you've got

[Chorus]
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand and we'll make it, I swear
Woah-oh, livin' on a prayer
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand and we'll make it, I swear
Woah-oh, livin' on a prayer
Woah, we're halfway there
Woah-oh, livin' on a prayer
Take my hand and we'll make it, I swear...
(Woah, we're halfway there
Woah-oh, livin' on a prayer)",0.1000000015,3.900000095
Billie Jean,Michael Jackson,1980,"[Verse 1]
She was more like a beauty queen from a movie scene
I said, ""Don't mind, but what do you mean, I am the one
Who will dance on the floor in the round?""
She said I am the one
Who will dance on the floor, in the round
She told me her name was Billie Jean
As she caused a scene
Then every head turned with eyes that dreamed of being the one
Who will dance on the floor in the round

[Pre-Chorus]
People always told me, ""Be careful of what you do
Don't go around breaking young girls' hearts"" (Hee-eeh)
And mother always told me, ""Be careful of who you love
And be careful of what you do (Oh-oh)
'Cause the lie becomes the truth"" (Oh-oh)

[Chorus]
Billie Jean is not my lover
She's just a girl who claims that I am the one (Oh, baby)
But the kid is not my son, hoo!
She says I am the one (Oh, baby)
But the kid is not my son (Hee-hee-hee, no-no-no, hee-hee-hee)
Hoo!

[Verse 2]
For forty days and for forty nights, the law was on her side
But who can stand when she's in demand?
Her schemes and plans
'Cause we danced on the floor in the round, hee!
So take my strong advice, just remember to always think twice
(Don't think twice) Do think twice! (Ah-hoo!)
She told my baby we'd danced till three, then she looked at me
Then showed a photo of a baby crying, his eyes were like mine (Oh, no)
'Cause we danced on the floor in the round, baby
(Ooh, hee-hee-hee)

[Pre-Chorus]
People always told me, ""Be careful of what you do
And don't go around breaking young girls' hearts""
(Don't break no hearts!) (Hee-hee)
She came and stood right by me
Then the smell of sweet perfume (Ha-oh)
This happened much too soon (Ha-oh, ha-ooh)
She called me to her room (Ha-oh, hoo!)

[Chorus]
Billie Jean is not my lover (Hoo!)
She's just a girl who claims that I am the one
But the kid is not my son
No-no-no, no-no-no-no-no-no
Billie Jean is not my lover
She's just a girl who claims that I am the one (Oh baby)
But the kid is not my son (Oh, no, no)
She says I am the one (Oh baby)
But the kid is not my son (No, hee-hee)

[Break]
Ah, hee-hee-hee
Hee! Hoo!

[Chorus]
She says I am the one, but the kid is not my son
No-no-no, hoo! (Oh)
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
No-no-no, no-no-no-no
She says I am the one, but the kid is not my son (No-no-no)
She says I am the one (You know what you did)
She says he is my son (Breaking my heart babe)
She says I am the one

[Outro]
Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover (Don't call me Billie Jean)
Billie Jean is not my...",0,6.099999905
Celebration,Kool & The Gang,1980,"Yahoo! This is your celebration
Yahoo! This is your celebration
Celebrate good times, come on! (Let's celebrate)
Celebrate good times, come on! (Let's celebrate)
There's a party goin' on right here
A celebration to last throughout the years
So bring your good times, and your laughter too
We gonna celebrate your party with you
Come on now
Celebration
Let's all celebrate and have a good time
Celebration
We gonna celebrate and have a good time
It's time to come together
It's up to you, what's your pleasure
Everyone around the world
Come on!
Yahoo! It's a celebration
Yahoo!
Celebrate good times, come on!
It's a celebration
Celebrate good times, come on!
Let's celebrate
We're gonna have a good time tonight
Let's celebrate, it's all right
We're gonna have a good time tonight
Let's celebrate, it's all right, baby
We're gonna have a good time tonight (Ce-le-bra-tion)
Let's celebrate, it's all right
We're gonna have a good time tonight (Ce-le-bra-tion)
Let's celebrate, it's all right
Yahoo!
Yahoo!
Celebrate good times, come on! (Let's celebrate)
Celebrate good times, come on!
It's a celebration!
Celebrate good times, come on! (Let's celebrate)
Come on and celebrate, tonight
(Celebrate good times, come on!)
'Cause everything's gonna be all right
Let's celebrate (Celebrate good times, come on)
(Let's celebrate)
(Celebrate good times, come on!)
Celebration",0.6999999881,10.60000038
Thriller,Michael Jackson,1980,"[Verse 1: Michael Jackson]
It's close to midnight
Something evil's lurking from the dark
Under the moonlight
You see a sight that almost stops your heart
You try to scream
But terror takes the sound before you make it
You start to freeze
As horror looks you right between your eyes
You're paralyzed

[Chorus 1: Michael Jackson]
'Cause this is thriller
Thriller night
And no one's gonna save you
From the beast about to strike
You know it's thriller
Thriller night
You're fighting for your life
Inside a killer
Thriller tonight, yeah, ooh

[Verse 2: Michael Jackson]
You hear the door slam
And realize there's nowhere left to run
You feel the cold hand
And wonder if you'll ever see the sun
You close your eyes
And hope that this is just imagination
Girl, but all the while
You hear a creature creeping up behind
You're out of time

[Chorus 2: Michael Jackson]
'Cause this is thriller, thriller night
There ain't no second chance
Against the thing with 40 eyes, girl
(Ooh, ooh)
Thriller, thriller night
You're fighting for your life
Inside a killer, thriller tonight

[Bridge: Michael Jackson]
Night creatures call
And the dead start to walk in their masquerade
There's no escaping the jaws of the alien this time
They're open wide
This is the end of your life, ooh

[Verse 3: Michael Jackson]
They're out to get you
There's demons closing in on every side, ooh
They will possess you
Unless you change that number on your dial
Now is the time
For you and I to cuddle close together, yeah
All through the night
I'll save you from the terror on the screen
I'll make you see

[Chorus 3: Michael Jackson]
That this is thriller, thriller night
'Cause I can thrill you more
Than any ghoul would ever dare try
Thriller, thriller night
So let me hold you tight
And share a killer, thriller, chiller
Thriller here tonight
'Cause this is thriller, thriller night
Girl, I can thrill you more
Than any ghoul would ever dare try
(Ooh, ooh)
Thriller, thriller night
So let me hold you tight
And share a killer, thriller
I'm gonna thrill you tonight

[Outro: Vincent Price & Michael Jackson]
Darkness falls across the land
The midnight hour is close at hand
Creatures crawl in search of blood
To terrorize y'all's neighborhood
I'm gonna thrill you tonight
And whosoever shall be found
Without the soul for getting down
Must stand and face the hounds of hell
And rot inside a corpse's shell
I'm gonna thrill you tonight
(Thriller, ooh, thriller)
I'm gonna thrill you tonight
(Thriller night, thriller)
I'm gonna thrill you tonight
Ooh, babe, I'm gonna thrill you tonight
Thriller night, babe
The foulest stench is in the air
The funk of 40 thousand years (Thriller night, thriller)
And grisly ghouls from every tomb
Are closing in to seal your doom
And though you fight to stay alive
Your body starts to shiver (I'm gonna thrill you tonight)
For no mere mortal can resist
The evil of the thriller!
AHAHAHAHAHAHAHAHA
AHAHAHAHAHAHAHAHA!",0,3.700000048
,,,Average,0.220000001,
Friends In Low Places,Garth Brooks,1990,"[Verse 1]
Blame it all on my roots
I showed up in boots
And ruined your black tie affair
The last one to know
The last one to show
I was the last one
You thought you'd see there
And I saw the surprise
And the fear in his eyes
When I took his glass of champagne
And I toasted you
Said, honey, we may be through
But you'll never hear me complain

[Chorus]
'Cause I've got friends in low places
Where the whiskey drowns
And the beer chases my blues away
And I'll be okay
I'm not big on social graces
Think I'll slip on down to the oasis
Oh, I've got friends in low places

[Verse 2]
Well, I guess I was wrong
I just don't belong
But then, I've been there before
Everything's all right
I'll just say goodnight
And I'll show myself to the door
Hey, I didn't mean
To cause a big scene
Just give me an hour and then
Well, I'll be as high
As that ivory tower
That you're livin' in

[Chorus]
'Cause I've got friends in low places
Where the whiskey drowns
And the beer chases my blues away
And I'll be okay
I'm not big on social graces
Think I'll slip on down to the oasis
Oh, I've got friends in low places

'Cause I got friends in low places
Where the whiskey drowns
And the beer chases my blues away
And I'll be okay
Well, I'm not big on social graces
Think I'll slip on down to the oasis
Oh, I got friends in low places

'Cause I got friends in low places
Where the whiskey drowns
And the beer chases my blues away
And I'll be okay
Well, I'm not big on social graces
Think I'll slip on down to the oasis
Oh, I got friends in low places

'Cause I got friends in low places
Where the whiskey drowns
And the beer chases my blues away
And I'll be okay
Well, I'm not big on social graces
Think I'll slip on down to",-0.3000000119,2.400000095
Electric Slide,Marcia Griffiths,1990,"It's Electric!

You can't see it
It's electric!
You gotta feel it
It's electric!
Ooh, it's shakin'
It's electric!

Jiggle-a-mesa-cara
She's a pumpin' like a matic
She's a movin' like electric
She sure got the boogie

You gotta know it
It's electric
Boogie woogie, woogie!
Now you can't hold it
It's electric
Boogie woogie, woogie!
But you know it's there,
Yeah here there everywhere

I've got to move,
I'm going on a party ride
I've got to groove, groove, groove,
And from this music I just can't hide.

Are you comin' with me?
Come let me take you on a party ride
And I'll teach you, teach you, teach you
I'll teach you the electric slide

Some say it's mystic
It's electric
Boogie woogie, woogie
You can't resist it
It's electric
Boogie woogie, woogie
You can't do without it
It's electric
Boogie woogie, woogie
Jiggle-a-mesa-cara she's a pumpin' like a matic
She's movin' like electric
She sure got the boogie

Don't wanna lose it
It's electric
Boogie woogie, woogie
But you can't choose it
It's electric
Boogie woogie, woogie
But you know it's there,
Yeah here there everywhere

I've got to move,
Come let me take you on a party ride
And I'll teach you, teach you, teach you
I'll teach you the electric slide

Some say it's mystic
It's electric
Boogie woogie, woogie
You can't resist it
It's electric
Boogie woogie, woogie
You can't do without it
It's electric
Boogie woogie, woogie
Jiggle-a-mesa-cara she's a pumpin' like a matic
She's movin' like electric
She sure got the boogie

Don't wanna lose it
It's electric
Boogie woogie, woogie
But you can't choose it
It's electric
Boogie woogie, woogie
But you know it's there,
Yeah here there everywhere",0.1000000015,6.800000191
Baby Got Back,Sir Mix-A-Lot,1990,"Oh, my, God Becky, look at her butt
It is so big, she looks like
One of those rap guys' girlfriends.
But, ya know, who understands those rap guys?
They only talk to her, because,
She looks like a total prostitute, 'kay?
I mean, her butt, is just so big
I can't believe it's just so round, it's like out there
I mean gross, look
She's just so, black
I like big butts and I can not lie
You other brothers can't deny
That when a girl walks in with an itty bitty waist
And a round thing in your face
You get sprung, want to pull up tough
'Cause you notice that butt was stuffed
Deep in the jeans she's wearing
I'm hooked and I can't stop staring
Oh baby, I want to get wit'cha
And take your picture
My homeboys tried to warn me
But with that butt you got makes (me so horny)
Ooh, Rump-o'-smooth-skin
You say you want to get in my Benz?
Well, use me, use me
'Cause you ain't that average groupie
I've seen her dancin'
To hell with romancin'
She's sweat, wet,
Got it goin' like a turbo 'Vette
I'm tired of magazines
Sayin' flat butts are the thing
Take the average black man and ask him that
She gotta pack much back
So, fellas (yeah) Fellas (yeah)
Has your girlfriend got the butt? (hell yeah)
Tell 'em to shake it (shake it) shake it (shake it)
Shake that healthy butt
Baby got back (L.A. fits with the Oakland booty)
Baby got back (L.A. fits with the Oakland booty)
I like 'em round, and big
And when I'm throwin' a gig
I just can't help myself, I'm actin' like an animal
Now here's my scandal
I want to get you home
And ugh, double-up, ugh, ugh
I ain't talkin' bout Playboy
'Cause silicone parts are made for toys
I want 'em real thick and juicy
So find that juicy double
Mix-a-Lot's in trouble
Beggin' for a piece of that bubble
So I'm lookin' at rock videos
Knock-kneed bimbos walkin' like hoes
You can have them bimbos
I'll keep my women like Flo Jo
A word to the thick soul sistas, I want to get with ya
I won't cuss or hit ya
But I gotta be straight when I say I want to fuck
Til the break of dawn
Baby got it goin' on
A lot of simps won't like this song
'Cause them punks like to hit it and quit it
And I'd rather stay and play
'Cause I'm long, and I'm strong
And I'm down to get the friction on
So, ladies (Yeah) Ladies (Yeah)
If you want to role in my Mercedes (Yeah)
Then turn around, stick it out
Even white boys got to shout
Baby got back
Baby got back
Yeah, baby, when it comes to females
Cosmo ain't got nothin'
To do with my selection
Thirty six-twenty- four-thirty six
Ha ha, only if she's 5'3
So your girlfriend rolls a Honda, playin' workout tapes by Fonda
But Fonda ain't got a motor in the back of her Honda
My anaconda don't want none
Unless you've got buns, hon
You can do side bends or sit-ups
But please don't lose that butt
Some brothers want to play that hard role
And tell you that the butt ain't gol'
So they toss it and leave it
And I pull up quick to retrieve it
So Cosmo says you're fat
Well I ain't down with that
'Cause your waist is small and your curves are kickin'
And I'm thinkin' bout stickin'
To the beanpole dames in the magazines
You ain't it, Miss Thing
Give me a sista, I can't resist her
Red beans and rice didn't miss her
Some knucklehead tried to dis
'Cause his girls are on my list
He had game but he chose to hit 'em
And I pull up quick to get wit 'em
So ladies, if the butt is round,
And you want a triple X throw down,
Dial 1-900-MIXALOT
And kick them nasty thoughts
Baby got back
Baby got back",0,2.299999952
